LtR algorithm,repo_name,ndcg@1,ndcg@2,ndcg@3,ndcg@4,ndcg@5,ndcg@6,ndcg@7,ndcg@8,ndcg@9,ndcg@10,ndcg@11,ndcg@12,ndcg@13,ndcg@14,ndcg@15,ndcg@16,ndcg@17,ndcg@18,ndcg@19,ndcg@20,Project_Category
RandomForest,argoproj_argo-workflows,0.118110236,0.081557215,0.090133993,0.09483757,0.097891062,0.195128621,0.177249875,0.163106303,0.159922572,0.157262438,0.154997798,0.146773087,0.139574754,0.133208141,0.132564181,0.12819917,0.161145109,0.19115078,0.188670083,0.183332712,Large
RandomForest,Automattic_mongoose,1,0.707575831,0.598824864,0.666273451,0.710060069,0.633523294,0.597841707,0.552022114,0.514634765,0.483396149,0.456801918,0.432562452,0.423319237,0.415144015,0.407848359,0.431574244,0.453055435,0.445580944,0.438737802,0.43244337,Large
RandomForest,facebook_hhvm,1,0.634469788,0.49853108,0.42398115,0.371452003,0.43920266,0.409782424,0.386508576,0.360832264,0.337875831,0.32516416,0.314177173,0.304561274,0.29605643,0.288466615,0.281640904,0.27546097,0.269832566,0.264679577,0.257902718,Large
RandomForest,neo4j_neo4j,0.244094488,0.14966585,0.11454835,0.095289619,0.082787137,0.073863581,0.089461064,0.082322559,0.147253525,0.201505928,0.247692384,0.234548982,0.272089732,0.30529289,0.292271444,0.280560933,0.307749019,0.296740898,0.286662603,0.285286023,Large
RandomForest,fish-shell_fish-shell,1,0.634469788,0.491140864,0.40856656,0.354960553,0.42448881,0.431046826,0.436234761,0.476124399,0.447335843,0.450154316,0.452590387,0.431552081,0.434494704,0.458614808,0.460115254,0.443619882,0.463521487,0.464626704,0.465643299,Large
RandomForest,kubernetes_ingress-nginx,0,0.021322596,0.016319475,0.181703258,0.165094644,0.147299232,0.138853096,0.127773377,0.118732675,0.174799597,0.222530799,0.210722557,0.200387888,0.236861679,0.226758983,0.217673375,0.247238024,0.242619149,0.235181288,0.227575927,Large
RandomForest,Kunena_Kunena-Forum,1,1,0.881756541,0.901636523,0.815363669,0.727476309,0.660820969,0.608091064,0.635820879,0.610898938,0.57556335,0.598085405,0.617796888,0.600750694,0.585538485,0.562077571,0.550060776,0.530385213,0.546334874,0.536560936,Large
RandomForest,languagetool-org_languagetool,0.111111111,0.160235277,0.122637774,0.142049353,0.154651061,0.191020461,0.195333709,0.219011125,0.203514826,0.22187252,0.266880932,0.278829886,0.289287706,0.298537193,0.328456198,0.324835684,0.321557704,0.327656662,0.35049165,0.342750493,Large
RandomForest,linkerd_linkerd2,0.496062992,0.304159631,0.467431172,0.556970657,0.483893279,0.539523986,0.490089861,0.530777905,0.510493402,0.541636198,0.517138629,0.542760898,0.540470648,0.538445021,0.5154791,0.494825273,0.513916165,0.531303286,0.513258481,0.512702409,Large
RandomForest,loomio_loomio,0.244094488,0.14966585,0.11454835,0.115147202,0.231244382,0.219049748,0.20980112,0.193060137,0.17940002,0.175500715,0.165349411,0.156575408,0.197940291,0.188911372,0.180853867,0.178339902,0.171600317,0.165462208,0.168132819,0.162695691,Large
RandomForest,microsoft_onnxruntime,0.492063492,0.39381516,0.416868086,0.346781082,0.301281643,0.321845857,0.337442124,0.329514785,0.314061467,0.357701417,0.394853221,0.400011529,0.404526122,0.431688279,0.434263421,0.416863682,0.438900796,0.458971201,0.460095124,0.461128927,Large
RandomForest,yuzu-emu_yuzu,1,0.613147193,0.469278726,0.39038005,0.339160205,0.302602413,0.274876333,0.252942703,0.235045549,0.220091766,0.235823142,0.223309563,0.212357577,0.202671023,0.194026637,0.186252524,0.179213916,0.17280347,0.166934497,0.16153612,Large
RandomForest,microsoft_vscode,1,1,1,1,0.871894255,0.783854645,0.717083836,0.659864462,0.683931011,0.704039569,0.721158498,0.735954778,0.748904602,0.714743801,0.70541656,0.677152462,0.653645365,0.648008675,0.626802454,0.638871025,Large
RandomForest,Homebrew_homebrew-cask,1,1,1,0.915274312,0.860271659,0.875332858,0.886755541,0.89579183,0.903165158,0.877264998,0.88436423,0.890500258,0.895870559,0.900620356,0.904859127,0.888479792,0.892694216,0.896532522,0.882931261,0.886717064,Large
RandomForest,phalcon_cphalcon,1,0.613147193,0.469278726,0.473781899,0.411619308,0.379982213,0.355988077,0.36716529,0.342857627,0.328559021,0.338247777,0.34662199,0.335414869,0.325502658,0.311619219,0.303865847,0.301607048,0.29166358,0.281757727,0.288687993,Large
RandomForest,vespa-engine_vespa,0.496062992,0.496062992,0.379667088,0.315834596,0.339481476,0.302889055,0.320588703,0.334590593,0.346015695,0.355561823,0.334995433,0.37028284,0.376451597,0.381907594,0.408270659,0.411788256,0.396226501,0.399797632,0.40306712,0.390032618,Large
LambdaMART,alibaba_BizCharts,0.244094488,0.536518657,0.467904437,0.557364353,0.499731982,0.472177033,0.439735505,0.406531924,0.448523209,0.423494467,0.413117622,0.404148679,0.387030837,0.374764197,0.363817314,0.389307402,0.393341768,0.388003222,0.408788644,0.403462716,Small
LambdaMART,AmruthPillai_Reactive-Resume,0.05511811,0.225698876,0.23001521,0.232382325,0.23391902,0.235015825,0.258934388,0.277855955,0.29329536,0.290165162,0.287500344,0.285197082,0.273913098,0.284046322,0.282342284,0.311096852,0.308564788,0.299499051,0.293338491,0.299894255,Small
LambdaMART,apache_kylin,1,1,1,1,1,1,1,1,1,1,1,1,0.9629274,0.964618443,0.933886435,0.936535424,0.938933793,0.941118119,0.943117941,0.94495741,Small
LambdaMART,asynkron_protoactor-dotnet,0.496062992,0.496062992,0.379667088,0.356873601,0.310049972,0.330100158,0.345306577,0.357336115,0.33595245,0.346138809,0.354810717,0.362306044,0.368866014,0.374668022,0.379845798,0.3845023,0.379196195,0.374363634,0.378496944,0.370076483,Small
LambdaMART,aws_chalice,0.023622047,0.206387153,0.157960603,0.131403076,0.114162325,0.155327075,0.186547155,0.191139118,0.212714239,0.214710675,0.20229139,0.204509605,0.195638163,0.187073422,0.200252539,0.196961324,0.198742518,0.200364748,0.201849954,0.195577104,Small
LambdaMART,open-mmlab_mmsegmentation,0.118110236,0.07241896,0.060969283,0.070576251,0.061316288,0.057253258,0.062829306,0.137610409,0.145144771,0.135910546,0.131237354,0.127198208,0.122118422,0.116548069,0.111577026,0.111838793,0.108505023,0.10462382,0.135033737,0.132449402,Small
LambdaMART,otya128_winevdm,0,0,0.115457464,0.114726723,0.164235223,0.254321601,0.231019272,0.231583895,0.215198001,0.232812401,0.219346078,0.226444289,0.246106058,0.240157399,0.245778403,0.251033648,0.255964581,0.260605975,0.264987293,0.278911062,Small
LambdaMART,remotion-dev_remotion,0,0.092107811,0.096566733,0.248458743,0.280420923,0.275858673,0.342208444,0.333900779,0.381031136,0.371937441,0.356850737,0.364025587,0.357849463,0.341526391,0.347947145,0.374073107,0.397727305,0.387475101,0.415445388,0.425065726,Small
LambdaMART,capistrano_capistrano,0.023622047,0.014483792,0.245724687,0.208383118,0.312247272,0.278590403,0.253064433,0.312665812,0.361298665,0.339815413,0.320159826,0.356234461,0.339921831,0.324416516,0.353231708,0.341287118,0.328389648,0.317488172,0.340668516,0.361990169,Small
LambdaMART,Shopify_shopify_app,0.111111111,0.086549028,0.066241219,0.073785084,0.128665335,0.167835715,0.197543229,0.200779058,0.189942105,0.209163306,0.210836785,0.225759632,0.220136814,0.212267528,0.205244891,0.197021293,0.208171136,0.218325909,0.231618634,0.24426431,Small
LambdaMART,StackExchange_StackExchange.Redis,0.118110236,0.459271767,0.586147895,0.65572783,0.700898087,0.627895075,0.575414131,0.609293765,0.567854117,0.535233448,0.505640846,0.480063286,0.505563042,0.487889632,0.467080015,0.449311876,0.47012275,0.462037765,0.450356856,0.443686684,Small
LambdaMART,tensorflow_tensor2tensor,0.492063492,0.688560156,0.761636203,0.652265022,0.631245768,0.616243428,0.564142966,0.558391418,0.52225133,0.49205485,0.49205535,0.519008624,0.517687128,0.499141424,0.520504197,0.499649028,0.489764734,0.473949272,0.491815682,0.475911204,Small
LambdaMART,ThePhD_sol2,0.05511811,0.225698876,0.200454346,0.207791455,0.212554598,0.215954256,0.218532617,0.201094908,0.186866285,0.206537623,0.223284335,0.212689574,0.208051029,0.209695128,0.21116234,0.212481841,0.208915474,0.21017382,0.236998912,0.231117198,Small
LambdaMART,the-tcpdump-group_tcpdump,0.118110236,0.264322321,0.436941263,0.363479405,0.446994139,0.506602173,0.471006427,0.513217225,0.512003464,0.543050188,0.514827244,0.540572163,0.563104324,0.560046277,0.557317242,0.575054321,0.572069186,0.551606386,0.541162272,0.5560003,Small
